Type of electricity generation,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total all types of electricity generation,"646,301","671,220","722,094","829,737","980,708","925,651","933,791","681,770","655,406","595,561","668,025","699,742","595,063","713,242","755,955","909,868","1,061,577","913,361","919,351","716,936","658,776","611,797","667,861","694,314","578,522","590,762","663,184","905,752","950,984"
Hydraulic turbine 3,"18,318","23,118","38,000","84,350","88,301","75,196","82,365","120,135","90,151","63,984","30,310","17,576","29,449","27,620","52,023","102,547","138,952","107,123","127,359","122,556","132,798","29,128","26,805","9,799","14,392","35,493","45,022","93,794","156,037"
Conventional steam turbine 4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Nuclear steam turbine 5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Internal combustion turbine 6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Combustion turbine 7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Total electricity production from combustible fuels 8,"555,531","568,161","596,482","657,691","819,820","770,566","717,234","446,157","468,761","435,282","569,685","624,835","480,236","604,993","598,141","693,691","811,889","694,070","655,052","447,767","413,703","500,199","535,813","609,537","463,280","442,304","473,495","679,484","700,197"
Tidal power turbine 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind power turbine 10,"72,452","79,941","87,612","87,696","72,587","79,889","134,192","115,478","96,494","96,295","68,030","57,331","85,378","80,629","105,791","113,630","110,736","112,168","136,940","146,613","112,275","82,470","105,243","74,978","100,850","112,965","144,667","132,474","94,750"
Solar 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other types of electricity generation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0