Date,British Columbia,Ontario,Quebec,Alberta
2020/8/1,86.47,75.31,100.21,45.44
2020/9/1,84.72,72.96,120.43,60.44
2020/10/1,96.95,64.83,95.47,39.81
2020/11/1,78.6,66.61,105.78,48.97
2020/12/1,106.63,80.55,103.83,49.23
2021/1/1,109.74,79.72,112.91,64.56
2021/2/1,103.21,86.92,118.9,58.29
2021/3/1,135.33,99.29,128.57,64.97
2021/4/1,117.27,93.67,126.07,57.52
2021/5/1,136.88,97.93,132.33,66.48
2021/6/1,135.39,113.69,142.81,88.56
2021/7/1,135.33,120.43,146.59,86.57
2021/8/1,143.74,115.04,127.56,71.41
2021/9/1,129.45,106.74,124.29,72.43
2021/10/1,143.8,106.55,133.6,74.39
2021/11/1,137.62,107.43,123.37,73.74
2021/12/1,128.98,101.85,117.22,64.84
2022/1/1,126.34,100.42,108.18,69.33
2022/2/1,105.93,90.71,118.36,57.21
2022/3/1,123.75,95.86,105.85,67.03
2022/4/1,128.74,90.45,118.56,70.49
2022/5/1,102.62,82.41,103.31,71.78
2022/6/1,90.39,77.65,91.96,51.63
2022/7/1,90.46,72.46,92.41,37.79
2022/8/1,92.37,73.01,90.76,47.11
2022/9/1,73.16,75.92,97.25,48.44
2022/10/1,69.77,72.68,93.01,34.99
2022/11/1,67.49,61.82,87.23,37.93
2022/12/1,66.22,64.59,86.5,44.18
2023/1/1,75.08,71.53,93.67,47.25