Geography,Canada,"St. John's, Newfoundland and Labrador","Charlottetown and Summerside, Prince Edward Island","Halifax, Nova Scotia","Saint John, New Brunswick","Québec, Quebec","Montréal, Quebec","Ottawa-Gatineau, Ontario part, Ontario/Quebec 2","Toronto, Ontario","Thunder Bay, Ontario 3","Winnipeg, Manitoba","Regina, Saskatchewan","Saskatoon, Saskatchewan","Edmonton, Alberta 4","Calgary, Alberta 4","Vancouver, British Columbia","Victoria, British Columbia","Whitehorse, Yukon","Yellowknife, Northwest Territories"
Aug-20,..,103.7,100.1,88.7,97.9,103.4,104.7,99.4,98.2,..,98.1,94.8,97.3,93.2,93.4,110.7,106.9,119.9,107.4
Sep-20,..,99.8,96.2,84.3,95.1,101.5,102.3,96.7,95.1,..,97.9,94.1,97,92.2,93.1,108.3,104.5,119.8,108.5
Oct-20,..,107.6,99.6,87.6,97.4,101,101,97.2,95.2,..,99.2,96.2,97.9,94,94.4,109.3,106.8,119.9,110.8
Nov-20,..,114.9,102.4,90.1,99,103.6,102.5,99.6,98.3,..,101,99.8,99.2,96.7,96.2,116.1,111.3,119.9,111.9
Dec-20,..,122.1,110.2,97.9,106.5,107.8,107,104.2,104.4,..,104.1,104,103.9,101.1,100.2,117.8,113.8,119.9,117.6
Jan-21,..,126.7,114.7,104.9,111,112.5,110.7,111.5,109.1,..,107.5,107.7,106.8,104.6,105.6,120.7,117.7,125.9,120.6
Feb-21,..,132.8,121.7,112.2,116.8,116.5,114.8,113.8,114.2,..,112.4,111.9,110.7,109.4,111.3,128.4,125,128.8,122
Mar-21,..,139.3,127.1,117.8,123,121.7,119.7,116.4,118.4,..,120.3,119.5,119.2,116.3,117.6,134.9,131.4,137.6,129.9
Apr-21,..,134.7,123,113.2,123,120.4,119.1,118.5,120.1,..,124.3,122.5,122.9,119.8,120.4,137.1,132.9,143.2,134.3
May-21,..,138.3,126.2,117.3,127,122.4,120.4,121,122.5,..,127.6,125.4,124.6,122.1,123.6,140.8,135.9,142.9,137.5
Jun-21,..,141.8,130.3,121.2,130.6,125,123.1,123.8,125.6,..,128.8,125.2,124.8,123.2,123.9,145.8,139.9,142.9,140.8
Jul-21,..,148.5,134.5,124.5,133.8,126.2,126.3,127.2,127.3,..,128.5,125.1,124.9,122.3,123.2,150,143.8,146.1,142.3
Aug-21,..,147.3,133.9,123.4,132.7,129.3,127.1,126.8,127.3,..,128.8,125.1,125.1,122.5,123.9,152.9,146.8,146.5,143.4
Sep-21,..,150.3,137.5,126.7,136.1,132.7,131.7,130.2,130.6,..,129.2,125.3,126.6,123.9,125.1,153,147.1,146.8,145
Oct-21,..,164.4,151.7,140.6,148.6,144.5,143.2,140.6,141.3,..,137.3,139.7,135.6,134.7,138.3,161.2,156.1,151.6,149.8
Nov-21,..,165.6,154.7,141.5,150.8,148.8,146.6,143,142.8,..,139.3,138.7,138.6,135.1,136.5,163.1,157.3,154.9,153.7
Dec-21,..,159.1,145.6,132.3,144.4,148.8,146.1,140.6,140.8,..,139,138,138.4,134,136.4,162.1,155.8,154.9,155.3
Jan-22,..,169.6,157.3,147.7,155.3,154,152.3,147.7,149.4,..,143.4,141.2,141.3,137.2,139.8,176.5,168.9,156.7,154
Feb-22,..,182.8,170.3,161.5,168.4,165.2,164.9,158.8,159.7,..,154.2,150.1,148.3,146.4,146.8,181.2,173.9,167.5,160.4
Mar-22,..,210.4,197.4,189.7,190.5,196.8,198.5,190.8,190.1,..,185.7,179.1,177.7,176.9,177.4,209.9,203.5,193.8,190.5
Apr-22,..,234.7,212.6,205.5,212.9,207,208.2,199.1,198,..,191.9,185.4,185,172.6,173.7,211.9,206.2,205.2,196.2
May-22,..,255.2,246.4,226.6,241,244.8,246.1,228.3,225.9,..,205,201.2,201.7,184.2,185.3,232.4,222.2,225,208.5
Jun-22,..,231.2,229.2,213.6,224.1,232.5,233.1,228.1,220.3,..,214.7,211.8,209.7,193.4,196.3,250.1,241.1,227.3,214
Jul-22,..,210.2,211.5,191.9,209.2,215.7,214.8,199.3,193.1,..,208,197.1,205.4,179.2,179.7,216.6,211.3,227.8,216.9
Aug-22,..,202.6,199.7,183.9,194,200,200.3,186.9,182.1,..,190,184.5,190.3,164.4,170.4,201.5,193.3,210.3,193.8
Sep-22,..,202.4,202.2,184.9,200,198.4,199,188.7,184.2,..,194.3,188.8,191.6,173,172.5,210.6,201.4,217.1,200.2
Oct-22,..,236.4,233.3,224.9,232.3,228.3,231.9,220.8,216.4,..,204.9,199.3,202.7,186.1,190.3,233.3,224.1,216.7,202.5
Nov-22,..,272.8,268.6,248.2,267.5,243.7,241.6,225.2,217.3,..,211,203.9,207.6,190.8,194.5,227.8,220.4,229.9,212.4
Dec-22,..,237.9,245.9,220,243.9,228.6,228.3,214.2,207.7,..,202.2,192,198.9,184.4,182.4,196.5,190.9,216,204.6
Jan-23,..,214.9,220.5,191.8,211.1,231.4,226.8,201.1,194.5,..,192.8,180.2,191.7,170.9,169,197.8,192.2,209.6,197.1
Feb-23,..,208,214.8,192.6,209.3,209.5,198.5,172.9,167.1,..,178.2,167.5,180,150.6,152.4,194.8,188,208.5,188
Mar-23,..,193.4,193.1,169.1,186.3,191.7,188.3,169.2,162.9,..,166.7,159.2,170.8,141.9,144.6,188.2,183.6,204.2,178.4